date,T1,T2,T3,T4,T5,percent_change_next_weeks_price
2011-02-14,-0.013654826590134584,-0.2969647008993384,0.7158933001452389,0.2737706465174421,0.3009255197866457,-0.5728229972191882
2011-02-21,-0.2969647008993384,0.7158933001452389,0.2737706465174421,0.3009255197866457,-0.5728229972191882,-0.13833312671946782
2011-02-28,0.7158933001452389,0.2737706465174421,0.3009255197866457,-0.5728229972191882,-0.13833312671946782,-0.48749210347075894
2011-03-07,0.2737706465174421,0.3009255197866457,-0.5728229972191882,-0.13833312671946782,-0.48749210347075894,-0.5115172825547735
2011-03-14,0.3009255197866457,-0.5728229972191882,-0.13833312671946782,-0.48749210347075894,-0.5115172825547735,0.4893445531365439
2011-03-21,-0.5728229972191882,-0.13833312671946782,-0.48749210347075894,-0.5115172825547735,0.4893445531365439,0.2396762482840492
2011-03-28,-0.13833312671946782,-0.48749210347075894,-0.5115172825547735,0.4893445531365439,0.2396762482840492,-0.008637172753624892
2011-04-04,-0.48749210347075894,-0.5115172825547735,0.4893445531365439,0.2396762482840492,-0.008637172753624892,-0.34107779165990465
2011-04-11,-0.5115172825547735,0.4893445531365439,0.2396762482840492,-0.008637172753624892,-0.34107779165990465,0.6695300961523353
2011-04-18,0.4893445531365439,0.2396762482840492,-0.008637172753624892,-0.34107779165990465,0.6695300961523353,0.8484346313330059
2011-04-25,0.2396762482840492,-0.008637172753624892,-0.34107779165990465,0.6695300961523353,0.8484346313330059,-0.5675234982181855
2011-05-02,-0.008637172753624892,-0.34107779165990465,0.6695300961523353,0.8484346313330059,-0.5675234982181855,-0.212562490999926
2011-05-09,-0.34107779165990465,0.6695300961523353,0.8484346313330059,-0.5675234982181855,-0.212562490999926,-0.3114396747149503
2011-05-16,0.6695300961523353,0.8484346313330059,-0.5675234982181855,-0.212562490999926,-0.3114396747149503,0.216540989384121
2011-05-23,0.8484346313330059,-0.5675234982181855,-0.212562490999926,-0.3114396747149503,0.216540989384121,-1.2963536525584891
2011-05-30,-0.5675234982181855,-0.212562490999926,-0.3114396747149503,0.216540989384121,-1.2963536525584891,-0.7238447118880605
2011-06-06,-0.212562490999926,-0.3114396747149503,0.216540989384121,-1.2963536525584891,-0.7238447118880605,-0.02661248159586457
2011-06-13,-0.3114396747149503,0.216540989384121,-1.2963536525584891,-0.7238447118880605,-0.02661248159586457,-0.1404591140811707
2011-06-20,0.216540989384121,-1.2963536525584891,-0.7238447118880605,-0.02661248159586457,-0.1404591140811707,1.895179641184456
